"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","ium"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","21","21","MUESTRA MEDICA: CAJA POR UN BLÍSTER DE PVC-PVDC/ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA UNO. BLÍSTER CON Ó SIN PORTABLISTER.","Activo","03/09/2017",,"Si","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER","2C1006721007105"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","17","126","USO INSTITUCIONAL - CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","20","42","USO INSTITUCIONAL: CAJA POR 2 BLÍSTER DE PVC-PVDC/ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON Ó SIN PORTABLISTER.","Inactivo","03/09/2017",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","17","126","USO INSTITUCIONAL - CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","15","63","USO INSTITUCIONAL - CAJA POR 3 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","17","126","USO INSTITUCIONAL - CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","14","21","USO INSTITUCIONAL - CAJA POR 1 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20103221","POST 2D® 0.75 MG TABLETAS","EXELTIS S.A.S.","INVIMA 2021M-0017046-R1","2016 May 03 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20103221","9","2","1L1008251006104 LEVONORGESTREL 0.7500 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (POST2D) TABLETA 1.0000U / CAJA X 2. MUESTRA MÉDICA: CAJA PLEGADIZA CON 1 BLÍSTER EN PVC/PVDC/FOIL ALUMINIO POR 2 TABLETAS","Activo","10/26/2019",,"Si","U","G03AC03","LEVONORGESTREL","ORAL","A","LEVONORGESTREL","mg","0,75","TABLETA","TABLETA","EXELTIS S.A.S.","IMPORTADOR","IMPORTAR Y VENDER","1L1008251006104"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","8","84","CAJA POR 4 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Activo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER","2C1006721007101"
"19906703","UTROGESTAN 100 MG. CAPSULAS","BESINS HEALTHCARES.A","INVIMA 2020M-14217-R2","2000 Feb 26 12:00:00 AM","2025 Aug 19 12:00:00 AM","En tramite renov","19906703","4","30","CAJA POR 30 CAPSULAS EN BLISTER PVC / ALUMINIO.","Activo","11/10/2006",,"No","U","G03DA04","PROGESTERONA","VAGINAL","A","PROGESTERONA MICRONIZADA","mg","100","CAPSULA","CAPSULA BLANDA","CYNDEA PHARMA. S.L.","FABRICANTE","IMPORTAR Y VENDER",
