"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","ium"
"19948887","MICROGYNON® 30 CD","ADIUM SAS","INVIMA 2020M-0003865-R2","2004 Oct 12 12:00:00 AM","3000 Jan 01 12:00:00 AM","En tramite renov","19948887","1","28","CAJA CON UN BLISTER (PVC/ALUMINIO) X 28 GRAGEAS (21 GRAGEAS ACTIVAS Y 7 GRAGEAS PLACEBOS)","Activo","11/10/2006",,"No","U","G03AA07","LEVONORGESTREL Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL","mg","0,03","GRAGEA ACTIVA","TABLETA CUBIERTA (GRAGEA)","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20009221","LUMTIL®","PROCAPS S.A.","INVIMA 2020M-0010603-R1","2010 Mar 30 12:00:00 AM","2020 Oct 01 12:00:00 AM","En tramite renov","20009221","1","1","CAJA CON 1 TUBO COLAPSIBLE X 10 G MAS 1 APLICADOR.","Activo","09/22/2009",,"No","U","G01AF02","CLOTRIMAZOL","VAGINAL","D","CLINDAMICINA FOSFATO (EQUIVALENTE A CLINDAMICINA BASE)","g","2","100 GRAMOS DE CREMA","CREMA VAGINAL","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","9","50","PRESENTACION COMERCIAL: PLEGADIZA POR 50 CÁPSULAS (10 BLISTER POR 5 CÁPSULAS CADA UNO) MATERIAL DE ENVASE (BLISTER PVC / ALUMINIO).","Activo","09/09/2013","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","FENILEFRINA CLORHIDRATO","mg","10","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
"20096688","SECFLU®","JOINPHARM S.A.","INVIMA 2021M-0016757-R1","2016 Jan 28 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20096688","1","2","PRESENTACION COMERCIAL: CAJA PLEGADIZA POR 2 TABLETAS RECUBIERTAS EN UNSIN DATOBLÍSTER ALU/PVC TRANSPARENTE CON 2 TABLETAS RECUBIERTAS CADA BLÍSTER.","Activo","10/19/2015",,"No","U","P01AB52","SECNIDAZOL. COMBINACIONES","ORAL","A","FLUCONAZOL","mg","75","TABLETA","TABLETA RECUBIERTA","COLOMPACK S.A.","FABRICANTE","FABRICAR Y VENDER",
"20088116","X RAY DOL®","GENOMMA LAB COLOMBIA LTDA.","INVIMA 2021M-0016526-R1","2015 Nov 10 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20088116","33","36","CAJA PLEGADIZA POR 36 TABLETAS QUE CONTIENE 9 BLÍSTER EN PVC -ALUMINIO POR 4 TABLETAS","Activo","08/22/2022",,"No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","ACETAMINOFEN","mg","250","TABLETA","TABLETA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20095222","EMTRICITABINA 200 MG TENOFOVIR 300 MG","SALUS PHARMA LABS. S.A.S","INVIMA 2021M-0016701-R1","2015 Dec 15 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20095222","2","60","CAJA CON 6 BLISTERSIN DATOPVC/ PVDC BLANCO / ALUMINIOSIN DATOPOR 10 TABLETAS C/U","Activo","12/04/2015","04/01/2021","No","U","J05AR03","TENOFOVIR DISOPROXIL Y EMTRICITABINA","ORAL","A","EMTRICITABINA","mg","200","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","NUTRI MACK S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20063717","MERAVILL®","ANZG LTDA","INVIMA 2014M-0015055","2014 Jun 03 12:00:00 AM","3000 Jan 01 12:00:00 AM","En tramite renov","20063717","2","10","CAJA X 10SIN DATOCÁPSULAS EN BLISTERSIN DATOEN PVC-PVDC TRANSPARENTE /ALUMINIO ENSIN DATOBLISTER PORSIN DATO10SIN DATOCÁPSULAS CADA UNA.SIN DATOPROTEGIDO CON BOLSA LAMINADA POUCH PROLAM 200.","Activo","05/22/2014","03/06/2024","No","U","M01AB11","ACEMETACINA","ORAL","A","ACEMETACINA","mg","60","CÁPSULA DURA","CAPSULA DURA","BLISTECO S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"19948772","DICLOVERT 500 MG CÁPSULAS","INVERSIONES COMERFAR LTDA.","INVIMA 2021M-0004665-R2","2005 Aug 10 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","19948772","1","50","CAJA PLEGADIZA X 50 CAPSULAS EN BLISTER","Inactivo","11/10/2006","01/20/2016","No","U","J01CF01","DICLOXACILINA","ORAL","A","DICLOXACILINA SÓDICA EQUIVALENTE A DICLOXACILINA BASE","mg","500","CÁPSULA","CAPSULA DURA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20009221","LUMTIL®","PROCAPS S.A.","INVIMA 2020M-0010603-R1","2010 Mar 30 12:00:00 AM","2020 Oct 01 12:00:00 AM","En tramite renov","20009221","1","1","CAJA CON 1 TUBO COLAPSIBLE X 10 G MAS 1 APLICADOR.","Activo","09/22/2009",,"No","U","G01AA10","CLINDAMICINA","VAGINAL","D","CLOTRIMAZOL","g","1","100 GRAMOS DE CREMA","CREMA VAGINAL","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","4","1","SOBRE POR 1 CAPSULA","Activo","09/15/2011","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","FENILEFRINA CLORHIDRATO","mg","10","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
"20025076","VALNOC® 2 MG TABLETAS RECUBIERTAS","LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.","INVIMA 2021M-0012217-R2","2011 May 26 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20025076","20","2","MUESTRA MÉDICA: CAJASIN DATOPLEGADIZA POR 2 TABLETAS EN BLISTER ACLAR TRANSPARENTE/ALUMINIO","Activo","06/28/2013",,"Si","U","N05CF04","ESZOPICLONA","ORAL","A","ESZOPICLONA","mg","2","TABLETA RECUBIERTA","TABLETA RECUBIERTA","LABORATORIOS SYNTHESIS S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"19961676","GLAUCOMED® TABLETAS","MEGALABS COLOMBIA S.A.S","INVIMA 2021M-0005172-R3","2006 Jan 13 12:00:00 AM","2021 Oct 01 12:00:00 AM","En tramite renov","19961676","1","10","PLEGADIZA EN CARTULINA POR 10 TABLETAS EN 1 BLISTER DE PVC/ALUMINIO POR 10 TABLETAS","Activo","11/10/2006",,"No","U","S01EC01","ACETAZOLAMIDA","ORAL","A","ACETAZOLAMIDA","mg","250","TABLETA","TABLETA","CLARIPACK S.A.","FABRICANTE","FABRICAR Y VENDER",
"19904844","DOLOFEN SLEEP","PROCAPS S.A.","INVIMA 2021M-13901-R3","1999 Nov 22 12:00:00 AM","2021 Oct 01 12:00:00 AM","En tramite renov","19904844","34","50","CAJA CON UN FRASCO BLANCO PEAD Y TAPA DE PP Y LINNER DE ALUMINIO POR 50 TABLETAS.","Activo","06/23/2010",,"No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","DIFENHIDRAMINA CLORHIDRATO","mg","25","TABLETA","TABLETA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20047996","IPCA PANTODEX DR - 40","IPCA LABORATORIES LIMITED SUCURSAL COLOMBIA","INVIMA 2020M-0015437 R1","2014 Nov 21 12:00:00 AM","2019 Dec 16 12:00:00 AM","En tramite renov","20047996","16","5","MUESTRA MEDICA: CAJA POR 5 TABLETAS EN BLISTER ALU-ALU POR 5 TABLETAS","Activo","10/02/2014",,"Si","U","A02BC02","PANTOPRAZOL","ORAL","A","PANTOPRAZOL BASE ( EQ. PANTOPRAZOL SODIO SESQUIHYDRATO) EP","mg","40","CADA TABLETA DE LIBERACION RETARDADA","TABLETA DE LIBERACION RETARDADA","IPCA LABORATORIES LIMITED SUCURSAL COLOMBIA","IMPORTADOR","IMPORTAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","8","16","PRESENTACION COMERCIAL: PLEGADIZA POR 16 CÁPSULAS (4 BLISTER POR 4 CÁPSULAS CADA UNO) MATERIAL DE ENVASE (BLISTER PVC / ALUMINIO).","Activo","09/09/2013","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","CAFEINA ANHIDRA","mg","30","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
"19904844","DOLOFEN SLEEP","PROCAPS S.A.","INVIMA 2021M-13901-R3","1999 Nov 22 12:00:00 AM","2021 Oct 01 12:00:00 AM","En tramite renov","19904844","4","16","BLISTER DE PVC/ALUMINIO POR 4 TABLETAS. EN CAJA POR 16 TABLETAS","Inactivo","11/10/2006","06/23/2010","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","DIFENHIDRAMINA CLORHIDRATO","mg","25","TABLETA","TABLETA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20094560","RITONAVIR 100 MG TABLETAS","SALUSPHARMA LABS S.A.S","INVIMA 2021M-0016676-R1","2015 Dec 11 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20094560","5","150","CAJA CON 15 BLISTERSIN DATOPVC/ PVDC BLANCO / ALUMINIO POR 10 TABLETAS C/U","Activo","10/24/2015","04/01/2021","No","U","J05AE03","RITONAVIR","ORAL","A","RITONAVIR","mg","100","TABLETA","TABLETA RECUBIERTA","NUTRI MACK S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"21382","ROCEFIN® 1 G POLVO ESTÉRIL PARA INYECCIÓN","F. HOFFMANN-LA ROCHE LTD.","INVIMA 2021M-008483-R4","1995 Jul 12 12:00:00 AM","2021 Oct 01 12:00:00 AM","En tramite renov","21382","1","1","CAJA X 01 VIAL DE VIDRIO TIPO 1 X 15 ML + 01 AMPOLLA DE VIDRIO TIPO 1 CON 10 ML DE DISOLVENTE (AGUA PARA INYECCIÓN)","Activo","11/10/2006",,"No","g","J01DD54","CEFTRIAXONA","INTRAVENOSA","A","CEFTRIAXONA SODICA 1193 MG EQUIVALENTE A CEFTRIAXONA","mg","1000","VIAL","POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE","HAMELN PHARMACEUTICALS GMBH EN LANGES FELD 13 31789 HAMELN ALEMANIA","FABRICANTE","IMPORTAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","9","50","PRESENTACION COMERCIAL: PLEGADIZA POR 50 CÁPSULAS (10 BLISTER POR 5 CÁPSULAS CADA UNO) MATERIAL DE ENVASE (BLISTER PVC / ALUMINIO).","Activo","09/09/2013","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","ACETAMINOFEN","mg","500","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
"19948264","OMEPRAZOL 10 MG","COLMED LTDA","INVIMA 2021M-0004097-R2","2005 Jan 24 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","19948264","4","15","CAJA POR 15 CAPSULAS EN BLISTER PVC / ALUMINIO EN SOBRE POUCH.","Activo","11/10/2006","04/01/2021","No","U","A02BC01","OMEPRAZOL","ORAL","A","OMEPRAZOL MICROGRANULOS85.5 MG/G 117.0 MG(EQUIVALENTE A OMEPRAZOL","mg","10","CAPSULA","CAPSULA DURA","PROCAPS S.A.","FABRICANTE","IMPORTAR. SEMIELABORAR Y VENDER",
"20020194","LAMDOTIL®","LABQUIFAR LTDA.","INVIMA 2015M-0011202-R1","2010 Aug 11 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20020194","3","8","CAJA X 8 TABLETAS EN BLISTER PVC - PVDC INCOLORO TRANSPARENTE / ALUMINIO X 8 TABLETAS.","Activo","11/10/2016","04/01/2021","No","U","A07DA51","DIFENOXILATO. COMBINACIONES","ORAL","A","DIFENOXILATO CLORHIDRATO","mg","2,5","TABLETA","TABLETA","SERVICIO TÉCNICO GONHER FARMACÉUTICA LTDA.","FABRICANTE","FABRICAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","4","1","SOBRE POR 1 CAPSULA","Activo","09/15/2011","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","ACETAMINOFEN","mg","500","CAPSULA","CAPSULA DURA","TRIDEX FARMACEUTICA S.A.","FABRICANTE","FABRICAR Y VENDER",
"20086950","CARVEDILOL 12.5 MG TABLETA RECUBIERTA.","LABORATORIOS LA SANTÉ S.A.","INVIMA 2016M-0017066","2016 May 18 12:00:00 AM","3000 Jan 01 12:00:00 AM","En tramite renov","20086950","4","60","CAJA POR 60 TABLETAS RECUBIERTAS EN BLÍSTER TRIFLEX II (PP/AL/PVC/PVDC)/ALUMINIO.","Activo","04/23/2015",,"No","U","C07AG02","CARVEDILOL","ORAL","A","CARVEDILOL","mg","12,5","TABLETA RECUBIERTA","TABLETA RECUBIERTA","LABORATORIOS LA SANTÉ S.A.","FABRICANTE","FABRICAR Y VENDER",
"20017916","CONTUMAX® POLVO","ASOFARMA DE MEXICO S.A. DE C.V.","INVIMA 2021M-0011380-R2","2010 Sep 22 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20017916","2","1","MUETRA MEDICA: CAJA X 1 SOBRE DE 17 G","Activo","07/13/2011",,"Si","U","A06AD15","MACROGOL","ORAL","D","POLIETILENGLICOL 3350","g","100","100G","POLVO PARA RECONSTITUIR A SUSPENSION ORAL","ADIUM S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"19944485","GLIBENCLAMIDA5 MG TABLETAS","PENTACOOP S.A.","INVIMA 2020M-0003691-R2","2004 Aug 17 12:00:00 AM","2020 Oct 01 12:00:00 AM","En tramite renov","19944485","10","100","USO INSTITUCIONAL : CAJA X 100 TABLETAS EN BLISTER PVC/ALUMINIO","Inactivo","10/01/2014","02/09/2015","No","U","A10BB01","GLIBENCLAMIDA","ORAL","A","GLIBENCLAMIDA","mg","5","TABLETA","TABLETA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"19944485","GLIBENCLAMIDA5 MG TABLETAS","PENTACOOP S.A.","INVIMA 2020M-0003691-R2","2004 Aug 17 12:00:00 AM","2020 Oct 01 12:00:00 AM","En tramite renov","19944485","8","900","CAJA X 900 TABLETAS EN BLISTER PVC/ALUMINIO","Activo","10/01/2014",,"No","U","A10BB01","GLIBENCLAMIDA","ORAL","A","GLIBENCLAMIDA","mg","5","TABLETA","TABLETA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"19990978","QUETIAPINA 100 MG TABLETA RECUBIERTA","COLOMBIANA DE SUMINISTROS MEDICOS HOSPITALARIOS LTDA - COLMED LTDA","INVIMA 2023M-0009016-R1","2008 Dec 18 12:00:00 AM","3000 Jan 01 12:00:00 AM","En tramite renov","19990978","1","10","CAJA POR 10 TABLETAS EN EMPAQUE INDIVIDUAL TIPO BLÍSTER PVC-PVDC BLANCO / FOIL ALUMINIO. POR 10 TABLETAS CADA UNO","Activo","07/07/2008",,"No","U","N05AH04","QUETIAPINA","ORAL","A","QUETIAPINA FUMARATO EQUIVALENTE A QUETIAPINA BASE","mg","100","TABLETA RECUBIERTA","TABLETA RECUBIERTA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER","1Q1006291006100"
"20104517","OXIGENO MEDICINAL.","OXIGENOS DEL LLANO S.A.S.","INVIMA 2021M-0017107-R1","2016 Jun 20 12:00:00 AM","2026 Sep 09 12:00:00 AM","En tramite renov","20104517","34","1","OXIGENO GASEOSO MEDICINAL: CILINDROS DE ACERO CON CAPACIDAD DE 10.0M3","Activo","06/16/2016",,"No","U","V03AN01","OXIGENO","INHALACION","D","OXIGENOV/V","%","99","CILINDRO","GAS","OXISALUD S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20067986","FLEET® ENEMA","C.B FLEET COMPANY. INC","INVIMA 2019M-0015537-R1","2014 Dec 12 12:00:00 AM","2024 Nov 30 12:00:00 AM","En tramite renov","20067986","2","133","MUESTRA MEDICA: FRASCO DE POLIETILENO DE BAJA DENSIDAD CON APLICADOR POR 133ML","Activo","01/06/2016",,"Si","ml","A06AG01","SODIO FOSFATO","RECTAL","A","FOSFATO DE SODIO DIBASICO","g","6","100 ML","SOLUCION PARA ADMINISTRAR POR VIA RECTAL","C.B. FLEET COMPANY. INC.","FABRICANTE","IMPORTAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","7","8","PRESENTACION COMERCIAL: PLEGADIZA POR 8 CÁPSULAS (4 BLISTER POR 2 CÁPSULAS CADA UNO) MATERIAL DE ENVASE (BLISTER PVC / ALUMINIO).","Activo","09/09/2013","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","CETIRIZINA CLORHIDRATO","mg","5","CAPSULA","CAPSULA DURA","TRIDEX FARMACEUTICA S.A.","FABRICANTE","FABRICAR Y VENDER",
"19944485","GLIBENCLAMIDA5 MG TABLETAS","PENTACOOP S.A.","INVIMA 2020M-0003691-R2","2004 Aug 17 12:00:00 AM","2020 Oct 01 12:00:00 AM","En tramite renov","19944485","12","300","USO INSTITUCIONAL: CAJA X 300 TABLETAS EN BLISTER PVC/ALUMINIO","Inactivo","10/01/2014","02/09/2015","No","U","A10BB01","GLIBENCLAMIDA","ORAL","A","GLIBENCLAMIDA","mg","5","TABLETA","TABLETA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20011363","CLOLAR® 1 MG/ML SOLUCION CONCENTRADA PARA INFUSION","GENZYME CORPORATION","INVIMA 2021M-0011769-R2","2011 Jan 13 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20011363","2","4","CAJA X 4 VIALES DE 20 ML CADA UNO","Activo","12/11/2010",,"No","U","L01BB06","CLOFARABINA","INTRAVENOSA","A","CLOFARABINA","mg","20","VIAL","SOLUCIÓN CONCENTRADA PARA INFUSIÓN","SANOFI AVENTIS DE COLOMBIA S.A","IMPORTADOR","IMPORTAR Y VENDER",
"20083483","FLUDARABINA","LABORATORIO KEMEX S.A","INVIMA 2021M-0016859-R1","2016 Feb 24 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20083483","3","25","CAJA PLEGADIZA CON 25 FRASCOSSIN DATOAMPOLLA DESIN DATOVIDRIO TIPO I. INCOLORO CON TAPÓN ELASTOMERICO DE BROMOBUTILO Y PRECINTO FLIP OFF.","Activo","02/17/2016",,"No","U","L01BB05","FLUDARABINA","INTRAVENOSA","A","FLUDARABINA FOSFATO","mg","50","FRASCO AMPOLLA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE","LABORATORIO KEMEX S.A","FABRICANTE","IMPORTAR Y VENDER",
"20088116","X RAY DOL®","GENOMMA LAB COLOMBIA LTDA.","INVIMA 2021M-0016526-R1","2015 Nov 10 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20088116","19","12","CAJA PLEGADIZA POR 12 TABLETAS QUE CONTIENE 4 BLÍSTER EN PVC -ALUMINIO POR 3 TABLETAS","Activo","08/22/2022",,"No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","ACETAMINOFEN","mg","250","TABLETA","TABLETA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"48012","HIDROXICINA-HCL 25 MG TABLETAS RECUBIERTAS","ANGLOPHARMA S.A.","INVIMA 2021M-000874-R3","1995 May 14 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","48012","2","20","CAJA POR 20 TABLETAS RECUBIERTAS EN BLISTER PVC / ALUMINIO POR 10 TABLETAS","Activo","11/10/2006","04/01/2021","No","U","N05BB01","HIDROXIZINA","ORAL","A","HIDROXICINA CLORHIDRATO","mg","25","TABLETARECUBIERTA","TABLETA RECUBIERTA","ANGLOPHARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","3","100","CAJA POR 100SIN DATOCAPSULAS EN 10SIN DATOBLISTERSSIN DATOPVC / ALUMINIO.","Activo","09/23/2009","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","CAFEINA ANHIDRA","mg","30","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
"20098771","TRIMEBUTINA 200 MG + SIMETICONA 120 MG","COLMED LTDA","INVIMA 2021M-0016780-R1","2016 Feb 02 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20098771","3","14","CAJA POR 14SIN DATOTABLETAS RECUBIERTAS EN BLISTER PVC-PVDC/ALUMINIO.","Activo","11/06/2015",,"No","U","A03AA05","TRIMEBUTINA","ORAL","A","TRIMEBUTINA MALEATO","mg","200","TABLETA RECUBIERTA","TABLETA RECUBIERTA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"55669","LANSOPEP® CAPSULAS","PROCAPS S.A.","INVIMA 2021M-000336-R3","1995 May 08 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","55669","9","30","CAJA X 30 CÁPSULAS EN BLISTER ALUMINIO/PVC POR 10 CÁPSULAS C/U.","Activo","09/14/2011","04/01/2021","No","U","A02BC03","LANSOPRAZOL","ORAL","A","LANSOPRAZOL","mg","30","CADA CAPSULA","CAPSULA DURA","PROCAPS S.A.","IMPORTADOR","IMPORTAR. SEMIELABORAR Y VENDER",
"20088116","X RAY DOL®","GENOMMA LAB COLOMBIA LTDA.","INVIMA 2021M-0016526-R1","2015 Nov 10 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20088116","2","1","PLEGADIZA POR 24 TABLETAS QUE CONTIENE 2 BLISTER POR 12 TABLETAS","Activo","06/03/2015",,"No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","NAPROXENO SODICO EQUIVALENTE A NAPROXENO","mg","220","TABLETA","TABLETA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20017916","CONTUMAX® POLVO","ASOFARMA DE MEXICO S.A. DE C.V.","INVIMA 2021M-0011380-R2","2010 Sep 22 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20017916","3","15","MUESTRA MEDICA: CAJA X 15 SOBRES DE 17 G CADA UNO","Activo","07/13/2011",,"Si","U","A06AD15","MACROGOL","ORAL","D","POLIETILENGLICOL 3350","g","100","100G","POLVO PARA RECONSTITUIR A SUSPENSION ORAL","ADIUM S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"42580","TRIMETOPRIM - SULFAMETOXAZOL 40 MG - 200 MG / 5 ML","COLMED LTDA","INVIMA 2020M-004757-R4","1999 Jan 01 12:00:00 AM","2020 Feb 23 12:00:00 AM","En tramite renov","42580","1","60","CAJA PLEGADIZA CON UN (1) FRASCO DE POLIETILENO ÁMBAR POR 60 ML CON TAPA BLANCA DE POLIPROPILENO 28.1 MM.","Activo","11/10/2006",,"No","U","J01EE01","SULFAMETOXAZOL Y TRIMETOPRIM","ORAL","B","SULFAMETOXAZOL","mg","4000","POR CADA 100ML DE SUSPENSIÓN ORAL.","SUSPENSION ORAL","PRODUCTORA DE CAPSULAS DE GELATINA S.A.. PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"42580","TRIMETOPRIM - SULFAMETOXAZOL 40 MG - 200 MG / 5 ML","COLMED LTDA","INVIMA 2020M-004757-R4","1999 Jan 01 12:00:00 AM","2020 Feb 23 12:00:00 AM","En tramite renov","42580","2","120","CAJA PLEGADIZA CON UN (1) FRASCO DE POLIETILENO ÁMBAR POR 120 ML CON TAPA BLANCA DE POLIPROPILENO 28.1 MM.","Activo","11/10/2006",,"No","U","J01EE01","SULFAMETOXAZOL Y TRIMETOPRIM","ORAL","B","TRIMETOPRIM","mg","800","POR CADA 100ML DE SUSPENSIÓN ORAL.","SUSPENSION ORAL","PRODUCTORA DE CAPSULAS DE GELATINA S.A.. PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20072221","FLEXIMAX® NAP TABLETA RECUBIERTA","LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.","INVIMA 2019M-0015541-R1","2014 Dec 12 12:00:00 AM","3000 Jan 01 12:00:00 AM","En tramite renov","20072221","4","20","CAJA X 20 TABLETAS RECUBIERTAS. EN BLÍSTER ALUMINIO/ALUMINIO X 4 TABLETAS RECUBIERTAS CADA UNO.","Activo","11/21/2014",,"No","U","M03BX51","COMBINACIONES TIOCOLCHICOSIDO","ORAL","A","TIOCOLCHICÓSIDO","mg","4","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","3","100","CAJA POR 100SIN DATOCAPSULAS EN 10SIN DATOBLISTERSSIN DATOPVC / ALUMINIO.","Activo","09/23/2009","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","FENILEFRINA CLORHIDRATO","mg","10","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
